ST,DIV1,DIV2,DIV3,DIV4,DIV5,DIV6,DIV7,DIV8,DIV9,DIV10,STATE_AREA,DIV1_PER,DIV2_PER,DIV3_PER,DIV4_PER,DIV5_PER,DIV6_PER,DIV7_PER,DIV8_PER,DIV9_PER,DIV10_PER
1,4609,5027,7648,4000,5006,7716,14719,2885,0,0,51609,0.089306129,0.097405491,0.148191207,0.077505861,0.096998586,0.149508807,0.285202193,0.055901103,0,0
2,13305,39777,8110,4761,10013,14649,23294,0,0,0,113909,0.116803764,0.3491998,0.071197184,0.041796522,0.087903502,0.128602657,0.204496572,0,0,0
3,4785,5539,7376,6723,5241,7004,5056,6680,4700,0,53104,0.090106207,0.10430476,0.138897258,0.126600633,0.09869313,0.131892136,0.0952094,0.125790901,0.088505574,0
4,21551,27073,6697,10585,33119,14028,45640,0,0,0,158693,0.135803092,0.170599837,0.042200979,0.066701115,0.208698556,0.088397094,0.287599327,0,0,0
5,28188,38519,8684,21193,7662,0,0,0,0,0,104247,0.27039627,0.369497444,0.083302157,0.203296018,0.073498518,0,0,0,0,0
6,1014,3251,744,0,0,0,0,0,0,0,5009,0.202435616,0.649031743,0.148532641,0,0,0,0,0,0,0
7,454,1603,0,0,0,0,0,0,0,0,2057,0.220709772,0.779290228,0,0,0,0,0,0,0,0
8,12163,13211,7870,11806,10957,2553,0,0,0,0,58560,0.207701503,0.225597678,0.134392077,0.201605191,0.18710724,0.043596311,0,0,0,0
9,3721,6100,3379,7018,9308,5823,6871,8266,8390,0,58876,0.063200625,0.103607582,0.057391807,0.119199674,0.158094979,0.098902779,0.116702901,0.140396766,0.142502887,0
10,4445,2691,1621,29120,6334,8514,4721,4938,8297,12876,83557,0.053197219,0.03220556,0.019399931,0.348504614,0.075804541,0.101894515,0.056500353,0.059097383,0.099297486,0.1540984
11,7242,6593,5555,6176,5713,7535,7507,5414,4664,0,56400,0.128404255,0.116897163,0.098492908,0.109503546,0.101294326,0.133599291,0.133102837,0.095992908,0.082695035,0
12,4177,3887,3582,4152,6115,2602,5026,3970,2780,0,36291,0.115097407,0.107106445,0.098702158,0.114408531,0.168499077,0.071698217,0.138491637,0.109393514,0.076603015,0
13,6850,6096,6597,7368,7357,6062,4993,5578,5387,0,56290,0.121691242,0.108296323,0.11719666,0.130893587,0.13069817,0.107692308,0.088701368,0.099093978,0.095700835,0
14,7823,8934,6310,8004,9000,8761,11862,11221,10349,0,82264,0.095096275,0.108601575,0.076704269,0.097296509,0.10940387,0.10649859,0.144194301,0.136402314,0.125802295,0
15,9848,9174,8564,12809,0,0,0,0,0,0,40395,0.243792549,0.227107315,0.212006436,0.3170937,0,0,0,0,0,0
16,3935,6114,4401,3955,7802,5148,7584,3421,6162,0,48523,0.081095563,0.126002102,0.090699256,0.081507739,0.160789729,0.106094017,0.156297014,0.070502648,0.126991324,0
17,17916,10307,4992,0,0,0,0,0,0,0,33215,0.539394852,0.310311606,0.150293542,0,0,0,0,0,0,0
18,1280,1263,1118,967,703,3586,951,710,0,0,10577,0.121017302,0.119410041,0.105701049,0.09142479,0.066464971,0.339037534,0.089912073,0.067126785,0,0
19,1578,4217,2462,0,0,0,0,0,0,0,8257,0.191110573,0.510718179,0.298171249,0,0,0,0,0,0,0
20,9943,6945,4832,6613,3021,4686,4314,4593,6526,6741,58216,0.17079497,0.1192971,0.083001237,0.113594201,0.05189295,0.080493335,0.074103339,0.078895836,0.112099766,0.115792909
21,13131,13241,10315,9601,10189,9029,6129,6456,5977,0,84068,0.156194985,0.15750345,0.122698292,0.114205167,0.121199505,0.107401151,0.072905267,0.076794975,0.071097207,0
22,3030,4791,3693,4251,6179,5330,6308,4399,6127,3607,47716,0.063500713,0.100406572,0.077395423,0.089089614,0.129495347,0.111702574,0.132198843,0.092191299,0.128405566,0.075593092
23,14704,13993,10265,11512,15087,4125,0,0,0,0,69686,0.211003645,0.200800735,0.147303619,0.165198175,0.216499727,0.059194099,0,0,0,0
24,24410,14111,26897,22144,17421,22321,19834,0,0,0,147138,0.16589868,0.095903166,0.18280118,0.150498172,0.118399054,0.151701124,0.134798624,0,0,0
25,14225,18828,7645,0,7367,8395,9476,4549,6742,0,77227,0.184197237,0.243800743,0.098993875,0,0.095394098,0.108705505,0.1227032,0.058904269,0.087301073,0
26,30564,36279,33903,9794,0,0,0,0,0,0,110540,0.276497196,0.328197937,0.306703456,0.088601411,0,0,0,0,0,0
27,2864,6440,0,0,0,0,0,0,0,0,9304,0.307824592,0.692175408,0,0,0,0,0,0,0,0
28,2877,4381,578,0,0,0,0,0,0,0,7836,0.367151608,0.559086269,0.073762124,0,0,0,0,0,0,0
29,13614,18518,15050,14381,9660,9624,21900,18919,0,0,121666,0.111896504,0.152203574,0.123699308,0.118200648,0.079397695,0.079101803,0.180000986,0.155499482,0,0
30,4298,9062,7050,1814,6375,2732,3074,2950,7303,4918,49576,0.086695175,0.18279006,0.142205906,0.036590286,0.128590447,0.05510731,0.062005809,0.059504599,0.147309182,0.099201226
31,7717,3584,6231,5593,5730,9815,7058,6984,0,0,52712,0.146399302,0.067992108,0.118208378,0.106104872,0.1087039,0.186200486,0.133897405,0.13249355,0,0
32,9377,7088,8762,8720,7342,5611,8134,8056,7575,0,70665,0.132696526,0.100304252,0.12399349,0.123399137,0.103898677,0.079402816,0.115106488,0.114002689,0.107195924,0
33,4897,3310,3784,4064,4819,2972,3302,4539,4135,5400,41222,0.118795789,0.080296929,0.091795643,0.098588133,0.116903595,0.072097424,0.080102858,0.110111106,0.100310514,0.130998011
34,8055,8174,8467,5999,10278,7146,6922,8425,6454,0,69919,0.115204737,0.116906706,0.12109727,0.085799282,0.14699867,0.102203979,0.099000272,0.120496575,0.092306812,0
35,8369,9465,8903,2929,6013,8903,29657,12734,10008,0,96981,0.086295254,0.097596436,0.091801487,0.030201792,0.062001835,0.091801487,0.305802167,0.13130407,0.103195471,0
36,3269,1922,4384,2770,4851,4035,4397,3595,8205,7906,45333,0.072110824,0.042397371,0.096706593,0.06110339,0.10700814,0.089008007,0.09699336,0.079302054,0.180993978,0.174398341
37,1214,0,0,0,0,0,0,0,0,0,1214,1,0,0,0,0,0,0,0,0,0
38,618,4571,3357,6562,4112,4674,7161,0,0,0,31055,0.019900177,0.147190469,0.108098535,0.211302528,0.13241024,0.150507165,0.230590887,0,0,0
39,12628,7859,7635,2828,10270,11049,8706,5863,10209,0,77047,0.163899957,0.102002674,0.099095357,0.036704868,0.133295261,0.143405973,0.112995964,0.076096409,0.132503537,0
40,11000,6962,14781,9501,0,0,0,0,0,0,42244,0.260392008,0.164804469,0.349895843,0.224907679,0,0,0,0,0,0
41,39406,25558,39005,33204,36171,35289,21467,12217,21949,3074,267339,0.147400866,0.095601465,0.145900897,0.124201856,0.135300125,0.132000943,0.080298797,0.045698533,0.082101751,0.011498509
42,21891,1376,5604,17527,11260,5723,21535,0,0,0,84916,0.25779594,0.016204249,0.06599463,0.206403976,0.13260163,0.067396015,0.253603561,0,0,0
43,4854,3177,1579,0,0,0,0,0,0,0,9609,0.505151421,0.330627537,0.164325112,0,0,0,0,0,0,0
44,7555,7751,7392,5237,5200,7681,0,0,0,0,40815,0.185103516,0.189905672,0.181109886,0.12831067,0.127404141,0.188190616,0,0,0,0
45,5039,1814,3614,9629,6205,9465,7010,11859,8333,5224,68192,0.073894298,0.026601361,0.052997419,0.141204247,0.090993078,0.138799273,0.102797982,0.17390603,0.122199085,0.076607227
46,1199,4408,5637,7307,2660,2969,0,0,0,0,24181,0.049584384,0.182291882,0.23311691,0.302179397,0.110003722,0.12278235,0,0,0,0
47,9698,9973,6188,7087,5424,4689,5531,4863,2701,0,56154,0.172703636,0.177600883,0.110196958,0.126206504,0.096591516,0.083502511,0.09849699,0.086601133,0.048099868,0
48,3936,5140,20347,11378,11397,3828,7167,11985,7520,15216,97914,0.040198542,0.052495047,0.207804808,0.116204016,0.116398064,0.039095533,0.073196887,0.122403334,0.076802092,0.155401679
66,279,405,517,593,563,1006,0,0,0,0,3363,0.082961641,0.120428189,0.153731787,0.176330657,0.167410051,0.299137675,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
