State,num_fires,acres_burned,Year
AK,13,2,2003
AL,20,362,2003
AR,123,3236,2003
AZ,1421,142185,2003
CA,2145,363964,2003
CO,566,2858,2003
FL,37,538,2003
GA,33,295,2003
ID,918,200634,2003
IL,13,291,2003
IN,42,80,2003
KS,3,1,2003
KY,30,233,2003
LA,36,299,2003
MI,96,2400,2003
MN,170,901,2003
MO,157,2135,2003
MS,53,2150,2003
MT,1054,290528,2003
NC,45,198,2003
ND,30,2542,2003
NE,10,342,2003
NH,0,0,2003
NM,730,65071,2003
NV,183,3309,2003
OH,9,30,2003
OR,1039,139692,2003
PA,5,31,2003
PR,0,0,2003
SC,46,1751,2003
SD,99,18573,2003
TN,20,219,2003
TX,21,542,2003
UT,501,11830,2003
VA,12,61,2003
VT,1,1,2003
WA,323,126113,2003
WI,51,108,2003
WV,5,3,2003
WY,198,44775,2003
AK,44,16,2004
AL,29,949,2004
AR,97,2142,2004
AZ,1277,202265,2004
CA,1882,49437,2004
CO,349,7558,2004
FL,108,63413,2004
GA,39,600,2004
ID,628,4689,2004
IL,32,437,2004
IN,38,225,2004
KS,3,2,2004
KY,62,1516,2004
LA,30,420,2004
MI,107,712,2004
MN,128,160,2004
MO,173,4291,2004
MS,71,1519,2004
MT,577,3743,2004
NC,99,1516,2004
ND,9,6654,2004
NE,20,127,2004
NH,2,140,2004
NM,512,81150,2004
NV,152,6363,2004
OH,17,31,2004
OR,912,4939,2004
PA,3,3,2004
PR,0,0,2004
SC,74,2663,2004
SD,122,143,2004
TN,53,547,2004
TX,19,226,2004
UT,363,33177,2004
VA,17,204,2004
VT,1,2,2004
WA,457,69844,2004
WI,20,12,2004
WV,2,2,2004
WY,80,129,2004
AK,28,337,2005
AL,30,1270,2005
AR,187,4448,2005
AZ,1041,419617,2005
CA,1270,19583,2005
CO,318,16973,2005
FL,44,6152,2005
GA,36,86,2005
ID,521,83468,2005
IL,23,422,2005
IN,18,80,2005
KS,7,762,2005
KY,90,6489,2005
LA,47,3384,2005
MI,125,325,2005
MN,107,2384,2005
MO,217,6391,2005
MS,118,5092,2005
MT,453,46221,2005
NC,65,609,2005
ND,4,54,2005
NE,24,829,2005
NH,1,0,2005
NM,554,4521,2005
NV,117,18070,2005
OH,73,998,2005
OR,740,74179,2005
PA,14,56,2005
PR,6,472,2005
SC,53,243,2005
SD,127,7228,2005
TN,50,1240,2005
TX,96,996,2005
UT,242,16402,2005
VA,27,389,2005
AK,4,4,2006
AL,69,3697,2006
AR,262,25843,2006
AZ,1305,88957,2006
CA,1888,453500,2006
CO,424,2147,2006
FL,184,10757,2006
GA,57,401,2006
LA,74,2480,2006
MI,120,6681,2006
MN,193,34544,2006
MO,198,5958,2006
OR,1367,107972,2006
PA,25,71,2006
PR,6,472,2006
SC,73,601,2006
SD,91,596,2006
TN,35,2762,2006
TX,94,1932,2006
UT,336,41897,2006
VA,28,4235,2006
VT,0,0,2006
ID,952,305945,2006
IL,25,240,2006
IN,9,130,2006
KS,8,1751,2006
KY,95,6486,2006
MS,195,9189,2006
MT,749,307967,2006
NC,119,1233,2006
ND,22,906,2006
NE,21,6403,2006
NH,0,0,2006
NM,573,93696,2006
NV,168,31492,2006
OH,81,560,2006
WA,335,306060,2006
WI,68,203,2006
WV,7,7,2006
WY,143,28296,2006
WY,134,23261,2007
AK,7,2,2007
AL,113,3453,2007
AR,111,14321,2007
AZ,1127,46685,2007
CA,1593,551932,2007
CO,297,1146,2007
FL,198,127353,2007
GA,74,3168,2007
ID,660,1050025,2007
IL,23,269,2007
IN,16,64,2007
KS,6,146,2007
KY,137,6743,2007
LA,44,669,2007
MI,132,2429,2007
MN,121,75564,2007
MO,144,5865,2007
MS,144,4091,2007
MT,737,470653,2007
NC,83,2885,2007
ND,28,2714,2007
NE,31,3369,2007
NH,2,0,2007
NM,428,2964,2007
NV,119,114941,2007
OH,87,207,2007
OR,971,268867,2007
PA,13,32,2007
PR,1,3,2007
SC,65,944,2007
SD,108,370,2007
TN,96,4452,2007
TX,20,153,2007
UT,270,27520,2007
WY,93,22897,2008
AK,3,0,2008
AL,45,1777,2008
AR,55,495,2008
AZ,783,65186,2008
CA,1681,919716,2008
CO,278,1826,2008
FL,141,17998,2008
GA,49,1239,2008
ID,458,19205,2008
IL,10,12,2008
IN,5,5,2008
KS,6,61,2008
KY,82,2897,2008
LA,68,2759,2008
MI,143,428,2008
MN,73,71,2008
MO,59,3503,2008
MS,4,41,2008
MT,454,13199,2008
NC,151,4956,2008
ND,29,3567,2008
NE,3,5,2008
NH,1,54,2008
NM,265,35965,2008
NV,70,45429,2008
OH,51,168,2008
OR,1324,37997,2008
PA,10,26,2008
PR,0,0,2008
SC,79,662,2008
SD,41,195,2008
TN,55,3282,2008
TX,56,1181,2008
WI,62,263,2009
WV,7,135,2009
WY,104,3851,2009
AK,27,15,2009
AL,28,840,2009
AR,66,2933,2009
AZ,1011,144064,2009
GA,30,221,2009
ID,549,8245,2009
IL,38,320,2009
IN,28,109,2009
KS,1,0,2009
KY,63,2380,2009
LA,43,2077,2009
MI,179,271,2009
MN,55,261,2009
MO,176,5027,2009
MS,1,1,2009
MT,575,19725,2009
NC,89,7076,2009
ND,6,90,2009
NE,13,227,2009
NH,1,5,2009
NM,380,59365,2009
NV,143,318,2009
OH,90,904,2009
OR,1040,68791,2009
PA,8,67,2009
SC,33,716,2009
SD,49,45,2009
TN,41,703,2009
AK,16,10,2010
AL,47,1581,2010
AR,112,2354,2010
AZ,700,58603,2010
CA,1164,39288,2010
CO,352,6769,2010
FL,100,9129,2010
GA,29,876,2010
ID,505,26013,2010
IL,60,823,2010
IN,53,107,2010
KS,6,280,2010
KY,87,4639,2010
LA,122,10422,2010
MI,229,708,2010
MN,106,472,2010
MO,138,7051,2010
MS,111,3559,2010
MT,395,8211,2010
NC,120,2613,2010
ND,5,107,2010
NE,11,494,2010
NH,2,0,2010
NM,368,26649,2010
NV,78,1322,2010
OH,115,633,2010
OR,969,27435,2010
PA,13,98,2010
SC,28,172,2010
SD,54,103,2010
TN,35,370,2010
TX,31,614,2010
UT,199,48445,2010
VA,37,2228,2010
VT,3,1,2010
WA,222,14449,2010
WI,17,36,2010
WV,17,7,2010
WY,141,13059,2010
CA,1049,41777,2011
CO,361,15345,2011
FL,170,6468,2011
GA,15,619,2011
ID,532,84723,2011
IL,18,27,2011
IN,8,27,2011
KS,3,17495,2011
KY,41,1187,2011
LA,153,2522,2011
MI,35,28,2011
MN,78,94025,2011
MO,118,18439,2011
MS,48,1837,2011
MT,482,64546,2011
NC,143,787,2011
ND,11,738,2011
NE,17,636,2011
NH,3,3,2011
NM,551,339600,2011
NV,84,6867,2011
OH,25,116,2011
OR,723,26186,2011
PA,1,57,2011
PR,0,0,2011
SC,58,2115,2011
SD,86,9603,2011
TN,15,373,2011
TX,179,3684,2011
UT,209,1968,2011
VA,29,5348,2011
VT,0,0,2011
WA,237,658,2011
WI,25,8,2011
WV,8,11,2011
WY,95,48974,2011
AK,9,3,2011
AL,64,5503,2011
AR,169,6447,2011
AZ,817,921189,2011
CA,1251,297212,2012
CO,436,98768,2012
FL,79,7050,2012
GA,22,1089,2012
ID,501,921347,2012
IL,24,67,2012
IN,27,77,2012
KS,1,0,2012
KY,61,2373,2012
LA,52,1843,2012
MI,264,1167,2012
MN,105,561,2012
MO,187,10532,2012
MS,7,132,2012
MT,596,229083,2012
NC,117,23419,2012
ND,27,1988,2012
NE,71,39872,2012
NH,7,21,2012
NM,372,342127,2012
NV,142,42497,2012
OH,23,290,2012
OR,652,151108,2012
PA,7,47,2012
SC,40,816,2012
SD,152,16647,2012
TN,19,1010,2012
TX,31,899,2012
UT,313,146473,2012
VA,42,39119,2012
VT,4,6,2012
WA,330,116929,2012
WI,10,11,2012
WV,5,63,2012
WY,127,58697,2012
AK,5,0,2012
AL,49,2954,2012
AR,204,4762,2012
AZ,736,119177,2012
CA,1535,350642,2013
CO,294,153148,2013
FL,70,3958,2013
GA,2,6,2013
ID,818,381956,2013
IL,14,29,2013
IN,6,6,2013
KS,3,6,2013
KY,44,1325,2013
LA,0,0,2013
MI,44,64,2013
MN,56,252,2013
MO,38,1076,2013
MS,0,0,2013
MT,592,97737,2013
NC,62,4959,2013
ND,8,11896,2013
NE,5,27,2013
NH,2,0,2013
NM,425,183345,2013
NV,121,46471,2013
OH,26,96,2013
OR,1200,29352,2013
PA,4,2,2013
PR,0,0,2013
SC,33,633,2013
SD,62,49,2013
TN,27,1410,2013
TX,30,345,2013
UT,264,24094,2013
VA,14,754,2013
VT,4,13,2013
WA,305,8046,2013
WI,15,17,2013
WV,4,1612,2013
WY,125,29852,2013
AK,9,1,2013
AL,34,2034,2013
AR,78,2156,2013
AZ,732,28275,2013
CA,1535,350642,2014
CO,294,153148,2014
FL,70,3958,2014
GA,2,6,2014
ID,818,381956,2014
IL,14,29,2014
IN,6,6,2014
KS,3,6,2014
KY,44,1325,2014
LA,0,0,2014
MI,44,64,2014
MN,56,252,2014
MO,38,1076,2014
MS,0,0,2014
MT,592,97737,2014
NC,62,4959,2014
ND,8,11896,2014
NE,5,27,2014
NH,2,0,2014
NM,425,183345,2014
NV,121,46471,2014
OH,26,96,2014
OR,1200,29352,2014
PA,4,2,2014
PR,0,0,2014
SC,33,633,2014
SD,62,49,2014
TN,27,1410,2014
TX,30,345,2014
UT,264,24094,2014
VA,14,754,2014
VT,4,13,2014
AK,9,1,2014
AL,34,2034,2014
AR,78,2156,2014
AZ,732,28275,2014
