STATE_ABBR,EVAL_GRP_YEAR,total_removal,total_growth,total_mortality,total_inventory,total_hardwood,region
AL,1972,14529398,30172923,1325630,770127496,8645554100,R8
AL,1982,21976276,34857130,2484686,835722954,9970461576,R8
AL,1990,28744249,48835312,3770082,1109103362,11973920708,R8
AL,2000,36032747,54890559,5622030,1351249910,14376254235,R8
AL,2003,39692108,51578626,8182828,1321923234,14278298902,R8
AL,2004,36491946,51507578,8028643,1312814701,14329553241,R8
AL,2005,35127542,51851344,8185790,1346404258,14478826919,R8
AL,2006,34630620,51995461,8594557,1332368354,14550773382,R8
AL,2007,34861784,52375442,9539215,1315623330,14514344259,R8
AL,2008,26641356,52580923,9286542,1335943385,14655592260,R8
AL,2009,25016137,52863381,10871182,1347448201,14904277961,R8
AL,2010,24616251,51618570,11426490,1366967773,14987677806,R8
AL,2011,24136367,52519314,11900686,1393925297,15143557711,R8
AL,2012,22159452,52565003,10198862,1431086831,15172693442,R8
AL,2013,21267533,52210494,11097295,1444679237,15172085010,R8
AL,2014,20438522,53127147,10340957,1482356735,15472172287,R8
AL,2015,19998859,53969964,9435970,1506910723,15423970250,R8
AL,2016,20723502,54413010,7383670,1519474004,15428619493,R8
AL,2017,19224687,56124950,6531978,1552364683,15550866956,R8
AR,1978,31398042,41149125,3118425,1385394253,9124649706,R8
AR,1988,31677239,59232750,5967860,1753657692,11080661488,R8
AR,1995,34049744,57542977,3865894,2154011686,12327909611,R8
AR,2005,39946832,67013216,7054063,2490127634,13970549349,R8
AR,2009,39471256,84204929,11235807,2600413042,14520206867,R8
AR,2010,41357698,82510407,12664799,2593859373,14593135603,R8
AR,2011,39589793,81626914,12434421,2633217786,14750682306,R8
AR,2012,33845378,82151396,14716762,2712380996,15008568969,R8
AR,2013,31474143,82237031,17748077,2727806707,15055552591,R8
AR,2014,31658524,79311621,24770382,2690343107,14879151456,R8
AR,2015,25707457,79673314,27007694,2728263254,15025543083,R8
AR,2016,26978007,77259754,27836967,2749306747,15090536914,R8
CT,1985,2117305,2010562,1643161,168334701,2313596290,R9
CT,1998,1651178,2516499,1045948,179345240,2736447287,R9
CT,2006,1817961,3413642,208767,262204009,3254545558,R9
CT,2007,1707110,3992174,178911,276307536,3179248596,R9
CT,2008,3458090,10149627,3668205,287752333,3220744773,R9
CT,2009,2449213,7169828,2561938,274078994,3260074538,R9
CT,2010,1791856,6387125,1886099,275422544,3321687291,R9
CT,2011,1389695,7064611,1483567,285719086,3393325730,R9
CT,2012,1135327,6702473,1214919,287302491,3485369898,R9
CT,2013,565158,5980600,408216,283681800,3601005403,R9
CT,2014,983510,5562320,161976,278272868,3580719174,R9
CT,2015,1399511,5763616,132003,279292380,3663128666,R9
CT,2016,1824878,5749891,346382,276767564,3685235192,R9
DE,1986,1232416,1434712,220833,70813849,496193979,R9
DE,1999,817013,1954825,721569,78746497,583890516,R9
DE,2006,469673,1881881,21796,48893772,671036667,R9
DE,2008,597186,2676382,15777,70129666,663676914,R9
DE,2010,917864,1419086,547385,66585103,629115737,R9
DE,2011,1449954,1210577,448073,65340114,617608023,R9
DE,2012,1226469,1440853,422215,66395356,627026766,R9
DE,2013,1090545,1818817,367255,76702754,675133960,R9
DE,2014,1120075,1915744,218226,81032447,701249316,R9
DE,2015,1525024,1873817,167601,82175431,696228644,R9
DE,2016,1330557,1780228,168750,81015170,686585479,R9
FL,1970,913500,872338,279900,31954045,3984234969,R8
FL,1980,714937,754666,128215,31730056,4889787749,R8
FL,1987,496300,1246000,317000,35359391,5664725828,R8
FL,1995,789240,1170396,259797,30372566,5942011291,R8
FL,2005,363833,803765,465544,32324837,4068013341,R8
FL,2007,283619,702177,417920,24655534,4454262243,R8
FL,2010,217675,807342,1488741,23530675,4484784147,R8
FL,2011,1200735,616469,953059,16990823,4452881695,R8
FL,2012,1025459,679775,705331,18152227,4345214985,R8
FL,2013,828796,545380,560048,18233392,4324795225,R8
FL,2014,792255,482156,183490,18806270,4422522339,R8
FL,2015,783589,799858,0,22082112,4456777150,R8
GA,1972,13958957,33209985,2556748,746371798,10563274775,R8
GA,1982,13356554,34925675,1045658,1055298649,13689785479,R8
GA,1989,26018814,38797659,2963072,1199442299,15134786658,R8
GA,1997,23630840,48021533,4848810,1472624346,16497057047,R8
GA,2004,22271740,52331035,10881807,1491995373,15414346322,R8
GA,2005,27626903,50200277,8128513,1493863247,15348603363,R8
GA,2006,21258471,48464054,9165837,1510461513,15521696257,R8
GA,2007,21216324,50811146,4869096,1557819020,15612990196,R8
GA,2008,18748842,51171917,4478481,1571539905,15636908516,R8
GA,2009,17812728,49998583,6913214,1609984734,15741700686,R8
GA,2010,11627769,51909359,8254494,1632118932,15952966117,R8
GA,2011,12836090,54116129,7695738,1649370286,15879633237,R8
GA,2012,14864033,54482952,8836434,1669760839,15879539239,R8
GA,2013,14754675,53996508,8218545,1692794598,15788613546,R8
GA,2014,16508410,53837340,6571325,1695034093,15593957857,R8
GA,2015,18734565,53659005,5784217,1690363086,15566682704,R8
IA,1990,3319098,5343012,837290,390761111,2037579562,R9
IA,2003,4123791,21081409,1092189,558552870,2801128231,R9
IA,2004,0,5492211,582839,518807292,2558583006,R9
IA,2005,3648205,23357455,3344298,612082211,2983718753,R9
IA,2006,5012607,19703268,2584348,570443810,2932899743,R9
IA,2007,7294851,16122430,3183126,545063013,2859447283,R9
IA,2008,7194119,16633317,3332991,567356689,2924963537,R9
IA,2009,7732490,16067004,3926231,557307633,2869823083,R9
IA,2010,6661198,11695081,4116781,561202630,2922635696,R9
IA,2011,5178174,11782267,4120891,564681047,2960849144,R9
IA,2012,2407785,12155039,3431055,579354592,2998859625,R9
IA,2013,2501008,12659380,2289203,585861640,3036498212,R9
IA,2014,2047931,12526257,3122899,577944986,3019206082,R9
IA,2015,1653326,12243756,3359148,567719042,2907363910,R9
IA,2016,1512695,14343441,4063122,558252206,2930133699,R9
IA,2017,3370364,14128783,5914079,545699178,2910878587,R9
IL,1985,0,17932545,1418394,889219578,4789526768,R9
IL,1998,5911009,21340641,5079365,1018785116,6193239627,R9
IL,2006,11084993,32193226,5335040,1127361609,6884912296,R9
IL,2007,8058995,21770640,3323114,1207856222,6912924872,R9
IL,2008,8570195,20849277,5928418,1150311262,6754339333,R9
IL,2009,10015545,20962063,4432937,1056438843,6684434068,R9
IL,2010,10537208,20548262,4666496,1020550560,6656625847,R9
IL,2011,8642300,19457321,5230357,1018557297,6708645187,R9
IL,2012,10023012,19747687,6364877,1016576663,6729223001,R9
IL,2013,10932165,19746961,7002207,1015239845,6684583201,R9
IL,2014,9510207,21932145,7752149,1026477292,6753801977,R9
IL,2015,9286780,21955149,9288929,1027206314,6818075426,R9
IL,2016,6985729,21638928,9419237,1031828864,6890795667,R9
IN,1986,5948275,13196875,1264486,818771903,5994229713,R9
IN,1998,6603166,18552291,3508606,802605748,6929333778,R9
IN,2003,15844682,13243941,2489285,790997007,7223542113,R9
IN,2004,4759397,27928701,1238524,806510775,7504293470,R9
IN,2005,12695928,34091205,997382,832416658,7889803831,R9
IN,2006,11658965,29355365,1609202,816855248,7939983096,R9
IN,2007,10282306,27309325,2171058,817713374,8381812788,R9
IN,2008,10487469,26496955,2474514,810913436,8283390110,R9
IN,2009,10503464,23684965,3079545,808683113,8181588241,R9
IN,2010,8312389,20218802,3467780,809985437,8461212124,R9
IN,2011,8094022,19927896,2825715,817041498,8620688716,R9
IN,2012,6581163,18749011,2778617,819413790,8753754767,R9
IN,2013,6740556,18967133,2714252,836575189,8862904531,R9
IN,2014,7367960,19473075,2055590,817571165,8959152661,R9
IN,2015,5609801,19279276,3100239,806074065,9052062675,R9
IN,2016,7239384,18997394,2922212,822439918,9131855703,R9
KS,1981,0,2206003,315434,110193710,813476719,R2
KS,1994,268326,2510259,1073178,182690391,1621227867,R2
KS,2006,841115,2378340,0,117804950,1150255889,R2
KS,2007,894858,2435041,0,119577406,1164645002,R2
KS,2008,1338644,1824923,0,107717728,1129993992,R2
KS,2009,1631461,2410825,573137,117772562,1396505132,R2
KS,2010,1364057,2263378,511196,110056578,1411728326,R2
KS,2011,2308681,1771515,206498,107996063,1396966904,R2
KS,2012,2022691,1838410,214799,102685914,1398521131,R2
KS,2013,1582928,1390883,196970,93087536,1387653461,R2
KS,2014,1627230,2588105,205262,106974712,1417256412,R2
KS,2015,1253402,2317194,220295,103872504,1413131249,R2
KS,2016,1311485,2353530,232528,100621886,1294993558,R2
KY,1988,21160089,41692238,4042938,1991358557,14817285228,R8
KY,2006,48041640,91421339,12633981,2577978571,17808789636,R8
KY,2007,55971222,89918319,13937912,2625238715,18403591817,R8
KY,2008,51916726,87608860,12939060,2668285323,18748701333,R8
KY,2009,50212722,83886153,12129521,2689425514,18981162839,R8
KY,2010,48498481,78259469,10629850,2710270916,19201449059,R8
KY,2011,44988778,73181144,11620887,2692505705,19219171999,R8
KY,2012,32825713,69105527,10035530,2757577963,19593929499,R8
KY,2013,36936695,65464916,9034587,2755267158,19546703642,R8
KY,2014,36410196,62924506,8867675,2680202824,19324834852,R8
KY,2015,36408773,63848049,9037438,2702819717,19516740746,R8
LA,1974,11088741,15825855,495293,329038982,7644447340,R8
LA,1984,11479323,19675187,1334852,376157037,8407852241,R8
LA,1991,11944270,17004572,1368498,411575862,8914792221,R8
LA,2005,13631442,16379075,2220685,589656041,9872163630,R8
LA,2009,14914259,18752814,1583909,597978072,9834944830,R8
LA,2010,11359845,17307632,5644120,590543372,9755151268,R8
LA,2011,10364123,16488467,7930806,585905600,9591471275,R8
LA,2012,9576531,15724384,6485687,575500741,9483565113,R8
LA,2013,8878687,17790849,6905742,590526979,9459559109,R8
LA,2014,9386754,18052483,6476947,577817495,9463194932,R8
LA,2015,9897792,17861736,5811949,575484697,9574788666,R8
MA,1985,1101581,2066268,1355554,139936567,3254232129,R9
MA,1998,3339983,1161560,1014984,138396767,3662168199,R9
MA,2006,1486285,4369679,372583,198032226,4259447238,R9
MA,2007,1310402,4228305,370898,208199915,4224938418,R9
MA,2008,1124877,3221145,76696,202966250,4188567228,R9
MA,2009,601852,3355344,369784,205606088,4279891729,R9
MA,2010,580606,3799163,1284361,210906113,4316058508,R9
MA,2011,466977,4140470,1015988,214455053,4326704897,R9
MA,2012,782516,4098616,960850,221143846,4371616945,R9
MA,2013,505265,4152236,1013518,222205323,4444972041,R9
MA,2014,514244,4295347,1006220,230606484,4453956553,R9
MA,2015,513307,4410523,1005383,240646177,4428949127,R9
MA,2016,404578,4378514,481579,243895024,4469632314,R9
MD,1986,11035733,12132453,816372,415454917,3714950492,R9
MD,1999,8444180,6742609,3714165,488900596,4299640497,R9
MD,2006,753302,7825518,1718313,441977450,4787371762,R9
MD,2008,2457051,8081173,2598346,484911044,4777639166,R9
MD,2009,0,8033154,1389877,469022845,4677457735,R9
MD,2010,1392432,10690446,2655648,517317889,4680766046,R9
MD,2011,5434841,11498322,4063778,521717877,4538623009,R9
MD,2012,7163084,11083858,3279049,507747218,4586737576,R9
MD,2013,5943587,10777769,3079343,493122135,4681332725,R9
MD,2014,5989714,10843413,4098244,490802608,4610137921,R9
MD,2015,6175433,11787197,4694803,502820241,4655576838,R9
MD,2016,5643891,11747837,4948769,504525989,4750312460,R9
ME,1995,105900,357113,26655,17958660,9337574578,R9
ME,2006,374983,410108,82807,22605937,10647712758,R9
ME,2007,359300,521266,61938,22477910,10520912741,R9
ME,2008,278633,511874,49127,23147648,10512997142,R9
ME,2009,381476,501787,52239,22958840,10445449559,R9
ME,2010,198797,678627,53113,24213998,10482425352,R9
ME,2011,340397,707742,11830,24088280,10561207989,R9
ME,2012,609206,707933,11783,23672514,10541426052,R9
ME,2013,612331,707405,11878,24885436,10530906068,R9
ME,2014,419825,708541,11429,24129700,10392729939,R9
ME,2015,587805,717290,11516,24808520,10241293149,R9
ME,2016,466961,699601,0,25145214,10070044127,R9
MI,1980,0,11618992,653939,574755497,14598341078,R9
MI,1993,2089641,13933652,856797,879188484,21651637655,R9
MI,2003,4241168,18548550,2817304,707958104,18103027036,R9
MI,2004,3527877,18008813,2422958,695531126,18177729568,R9
MI,2005,5572583,19482130,513227,694570358,18350319976,R9
MI,2006,6568016,19988060,1878387,727472957,18668608746,R9
MI,2007,5646712,21546208,4071669,731087636,18755267967,R9
MI,2008,4006356,20188962,3165371,751225943,19029307972,R9
MI,2009,3885335,20801777,3095186,777359749,19245680588,R9
MI,2010,3601173,20321848,2559346,793164758,19608184636,R9
MI,2011,2502511,20247383,2546439,810652396,20110570999,R9
MI,2012,2722180,20162922,3422660,821940288,20439896817,R9
MI,2013,2250420,21553613,2944853,859209552,20697193770,R9
MI,2014,3199993,21154397,2811350,862200286,20680701695,R9
MI,2015,3580401,20582582,2798667,858476702,20662687897,R9
MI,2016,4056974,20927348,2653732,863698723,20736921615,R9
MN,1977,0,10095582,917360,451262041,8858640283,R9
MN,1990,2804443,12796781,908015,680321373,12999805629,R9
MN,2003,4070346,30170167,1157568,799407408,10236119415,R9
MN,2004,8086472,27291820,2044181,798766024,10184680368,R9
MN,2005,5522128,28453582,1966696,763696959,9955353799,R9
MN,2006,5199847,25230896,2304616,734567040,9712410324,R9
MN,2007,5328998,24645173,2284845,746150887,9526944049,R9
MN,2008,5030917,24155475,2695358,699298149,9302765135,R9
MN,2009,4320766,23213268,2624634,679201063,9189435346,R9
MN,2010,3528956,21024377,2679879,698218459,9307010435,R9
MN,2011,3054922,19529634,2756604,714519570,9427534576,R9
MN,2012,2601985,18831757,2561373,731533670,9529790458,R9
MN,2013,2804557,19221987,2579769,765396762,9768781606,R9
MN,2014,2603861,18432699,2169547,787907549,10006226896,R9
MN,2015,3195889,18699207,2097752,821739237,10203975096,R9
MN,2016,3275923,18842504,2730164,819481389,10316595610,R9
MO,1989,5629419,53142289,4680063,2347951470,8868764310,R9
MO,2003,27360366,125559282,6980926,3447607921,13319544400,R9
MO,2004,36705467,133051254,18895452,3601708831,13966943495,R9
MO,2005,33963206,119357237,13575700,3729251992,14479029832,R9
MO,2006,31725738,119178121,15100441,3908772477,15135911540,R9
MO,2007,33481392,114099062,14919581,3982060507,15199744652,R9
MO,2008,36702372,113625715,14877741,3990696999,15290491860,R9
MO,2009,35609497,109293913,15498834,3965177899,15238041369,R9
MO,2010,37441037,108855033,18200835,3936276697,15161368464,R9
MO,2011,39352682,106959794,19494895,3970364442,15223340723,R9
MO,2012,38015460,103209198,22415475,3992828970,15246865878,R9
MO,2013,36654164,100797216,27816383,3977179740,15175660738,R9
MO,2014,34386373,101970808,31169720,3998852945,15227613950,R9
